s	scores
1027	[0.43485711197736293,-0.026901917693916477,0.01057743959618766,0.005260422197258812,-0.01016305750828571,0.010463349751085427,0.01641290499034415,0.034959117813372916,0.05452415403840076,-0.00473072066419214]
1028	[0.44094440987695904,-0.03310114458684378,0.011251044826994997,0.0050263398483416655,-0.015639105764119483,7.010434863191805E-4,0.031961105726874724,0.058743167892254984,0.06002931546784013,0.003422890345413939]
1029	[0.45426993542370125,-0.031681169386471586,0.006095399914912051,0.0020372822583556373,-0.0010734596235880823,-0.018702687206307068,0.07295945325741719,0.05638547473378352,0.02733710847016149,-0.05669631932549484]
103	[-0.16701819929266667,0.12714663683348867,-0.16469525741089133,0.013717666281778153,0.0065725214886236056,-0.08078539634682287,0.05952469938983475,-0.08583598498786615,0.04096274521416953,0.014242523371724262]
1030	[0.44640559628831944,-0.0365047741348159,0.009117241060046206,0.0036143484203640134,0.012501477524252593,-0.01822188679065723,0.07620345327608347,0.050967730230395955,0.029466598476432303,-0.07128531782429703]
1031	[0.4279699449391995,-0.022155391476951898,0.006964961946216946,7.958292549099983E-4,-0.006044683826535082,-0.02413142324769359,0.06856122491941907,0.07067028338085775,0.01822214965494531,-0.021046282009976575]
1032	[0.44862389927634194,-0.048976697196701634,-0.014141520964281265,0.0060234842377749915,0.03656945491651972,-0.02425616064251086,0.054452856533165846,0.025146281077063785,0.08906684785446123,-0.10165704099836775]
1033	[0.4422622347461057,-0.024453806657144955,0.00559832755839289,2.3933150755459722E-4,-0.004195804721975079,-0.01941967364818062,0.08077179938804296,0.07046723426877188,0.029510185095519992,-0.05045711473599033]
1034	[0.42239741287343247,-0.023424864087202023,0.01253752251144196,-6.571941387200364E-4,-1.606664506946278E-4,-0.02313852471413564,0.0789522319218976,0.06828012525538082,0.027784452940151996,-0.03848568954848413]
1035	[0.4329942201210411,-0.03438416473645657,0.01429450839433826,-0.008482820012002703,-0.006730838076367989,-0.020593024443331425,0.08238937046228945,0.07850089169977625,0.04328459811106284,-0.05771576889439699]
1036	[0.4312394738622681,-0.029660200600531747,0.0052262589129083705,0.005114430188432651,0.024040050527713856,-0.018581305792581243,0.02573371892396379,-0.02284968653371684,-0.0744411972764986,-0.07504223820570481]
1037	[0.4520841750060836,-0.03708484970079148,0.0022966244549038973,0.0021102056166741254,0.019160702571120302,-0.028127031885189852,0.026852341736246003,-0.022605046654171013,-0.07637829303451246,-0.11301036852548764]
1038	[0.44144819539015007,-0.03798379010326794,0.012801965946127413,0.00273542321225694,0.014304374942505593,-0.02109093238461391,0.026170911306673,-0.008054613029299492,-0.07219079132758915,-0.09254555654373]
1039	[0.447223645364181,-0.03830382642367497,0.0035311722165676383,-5.087811980991258E-5,0.017476052788089114,-0.020384695894981514,0.01547887379013925,-0.025203603544587557,-0.07080473842990034,-0.09666178712952932]
104	[-0.1840516737090394,0.09348949837775278,-0.2500029804433559,0.030680853721066072,-0.040258408442808175,-0.01100875227414301,0.11051658393708517,-0.09853369058141843,-0.04427361281553255,0.03287794723457505]
1040	[0.44457123997663306,-0.033147428473698594,-9.709848701841156E-4,-0.0010817901624710616,0.018333357258636978,-0.030251161786566668,0.01769928430831702,-0.029858075797041944,-0.0950446799347276,-0.07755104692274582]
1041	[0.42491306207363716,-0.03052117476604345,0.011142151409466852,4.8529897152692987E-4,-0.011267794780791,0.001709745724514203,-0.0236896207022446,-0.017616093857015323,-0.04583560995731126,0.0017255875703528554]
1042	[0.4416430601746603,-0.02341807194109677,0.00932832986218923,-6.141132631100228E-4,0.00329551105764874,-0.01636850616409017,0.025869715502046697,-0.007854661531386175,-0.08925327550886128,-0.046499353633024286]
1043	[0.4336193568253278,-0.04779912344636963,-0.011701181981713299,0.01157048316362604,0.01652407197682038,0.011801568787137064,-0.10642265305608656,-0.09158843024681966,-0.017769647710422415,0.016209629522238814]
1044	[0.44984008460400504,-0.03894780000085861,0.0037850080155411346,0.0032184056592499334,0.014961875322124719,-0.015181896186544183,0.00941679002443075,-0.03578456654426537,-0.07019041791066367,-0.08178411481607352]
1045	[0.436504367366463,-0.03354630490115732,0.009921546487638622,0.012080956742852063,0.0218442679742989,-0.011359245266472865,0.033127172271307195,-0.024253330162865662,-0.046433805665902814,-0.11688263317658677]
1046	[0.43638033128711656,-0.03260217637302725,0.00806387251691423,0.006383342149298689,0.018664660123045948,-0.02260419799969661,0.0177595934051562,-0.027976822155118423,-0.0837495711865774,-0.10372593468196759]
1047	[0.44405196677305675,-0.028731706635152756,0.008521744536645936,-0.0028223899934770925,-0.0015701936721582844,-0.01642462952474086,0.017154066015048347,-0.007015539118073919,-0.08349045686360981,-0.021581914145546832]
1048	[0.441859054890403,-0.03239538938481134,0.007875328053394552,-0.0036729360154938158,-0.010209867864948574,0.006983062654784815,-0.033455544551011865,-0.036531824718186244,-0.05691255280248923,-0.004180575254199515]
1049	[0.43847126850628576,-0.025398649183814154,0.0062061060285272815,0.005101963375126338,-0.01249813567680175,0.004734541097770678,-0.033729706824808026,-0.03914936491002244,-0.07217882235243554,0.011164606192413655]
105	[-0.17669634136755363,0.10737317080055744,-0.2152371790296852,0.016930372697839383,-0.06273390610633318,-0.01862867564365497,0.12095805319134574,-0.10740776828015308,-0.03501831366937346,0.03536825567454173]
1050	[0.44086692554699797,-0.03151944120882723,0.008118281572921885,0.0030558975201202946,0.022902304576492546,-0.02346701655637125,0.0175175457399216,-0.031956160615313554,-0.08463099244674113,-0.09163638364287904]
1051	[0.4543328134544954,-0.03788667715162555,3.827480188010487E-4,0.0025322282902013435,0.020836742583931665,-0.021146622452478076,0.026320501423292404,-0.027101473875556708,-0.06776851105853865,-0.0962752664126282]
1052	[0.4474633337916301,-0.028079754753670926,-0.0023721772799566165,0.004897121141466801,0.022295483139783124,-0.026039704329613698,0.01587875747942741,-0.0318327577164107,-0.08179039089209265,-0.10597455776608201]
1053	[0.44635181619800873,-0.029550361030556384,-0.004193671246415189,0.003214529793751268,0.01772467425927609,-0.024886792423655393,0.020830231780130087,-0.0291921588055484,-0.07715615542470779,-0.10692714790744999]
1054	[0.42699986959782793,-0.047441456889109584,-0.004911468301215872,0.003453096660988387,0.009641791928246074,0.013328529171907988,-0.09761890204566513,-0.08854278042738815,-0.015028065952780728,0.025727921592029312]
1055	[0.4269589776578287,-0.03834914132877231,0.0027211803027057655,0.004795398944244592,0.0070119693577250794,0.010946013746755547,-0.09066569313509994,-0.07728738632289037,-0.026932778540013434,0.04103136989016369]
1056	[0.45014274498269025,-0.029998501533427056,0.006419639902575413,-0.0073424673889701045,-0.011378385319992993,0.009031183760863386,-0.033849346064905056,-0.028891886708479093,-0.059703965675922656,0.009462051137581556]
1057	[0.4375454318022517,-0.024403080331617134,0.009598718861687542,-0.0035486300437961482,0.0021923314941012335,-0.019122833598654652,0.02615461630370778,-0.002817408930651118,-0.0963048009243653,-0.054134183464136]
1058	[0.4199233001043187,-0.02628667939377429,0.013254686531091176,9.918747204493237E-4,-0.010474100418028135,-6.0634592514095475E-5,-0.029456396844645637,-0.034626425438918376,-0.06515565611392372,0.012019839281888017]
1059	[0.4304539165155239,-0.03238107120419788,-9.265338024078175E-4,0.007470551174883899,0.02071625794680503,-0.026861597475351325,0.004490179613971115,-0.03725076172707867,-0.06887287935098108,-0.1165005128047656]
106	[-0.1747565194401385,0.13030584858230002,-0.1909484469405374,0.004715449048832703,-0.07477949036939231,-0.011878286289004818,0.09968390353564359,-0.08589547348046915,-0.04449882390133108,0.027371790843385015]
