s	scores
1459	[-0.2003172580518987,-0.24240196715241513,-0.01027623929038958,-0.018765223758224446,-0.057626214794659986,-0.030911954366225746,0.07147804761672699,-0.0727374746584524,0.03775995851844771,0.012385231839565261]
146	[-0.18720149944249048,0.0806039154096061,-0.25171355694218445,0.015093586344066894,-0.03144191757196768,-0.012714845024384339,0.11773298177514724,-0.11029922739038503,-0.031231602417557795,0.0404017413791113]
1460	[-0.2150173362328967,-0.2794023814838473,-0.05364203138202653,-0.005346537582190053,-0.06282962221689317,-0.02062897577496656,0.07093997464157048,-0.07195927601929389,0.0028095126098586255,0.021183015780287133]
1461	[-0.20857686895329197,-0.26323578768505107,-0.01694626930875052,-0.019548645582824847,-0.06367427274619342,-0.03768610868788919,0.08418669182787747,-0.08983639584153345,0.03557305837092694,0.01484175254508256]
1462	[-0.2082348361844343,-0.24860793270372222,-0.04937879449396949,-0.03208145980176579,-0.1617726794001831,0.04671377405026173,0.08943069221965107,-0.03710399986504032,-0.08681292199251611,0.006546195228629316]
1463	[-0.20664134115633226,-0.26090943601879857,-0.02378943304871969,-0.020880186751965273,-0.06741571998085889,-0.04624632130826756,0.0838902428838907,-0.09252939316862485,0.0404202602602361,0.022165182645951985]
1464	[-0.20810598699467509,-0.26959364898700044,-0.053140630895766754,-0.004806248145968107,-0.16714088080982686,0.03324905679724085,0.09113500872829713,-0.03721929946660967,-0.09561108421583962,-2.6197672793813726E-4]
1465	[-0.22017793927516197,-0.2797188343689577,-0.07365887659972781,-0.025205311160545932,-0.170328292990157,0.04812210100540519,0.11213222960980675,-0.04526981982939428,-0.10870382167159334,9.577963111003352E-4]
1466	[-0.21192619126288378,-0.25443549899866746,-0.09972976916137752,-0.059506050842380705,-0.29660367774551477,0.22052527843085554,-0.04268643299662126,0.07105633488063093,-0.03725365265331305,-0.06797994734449357]
1467	[-0.2118621818210527,-0.26586532857784007,-0.05334556212441224,-0.002178998835103923,-0.08686090299960957,-0.005907292575924378,0.08969608623095318,-0.06919882941082932,-0.020999780681919655,0.013536592048568687]
1468	[-0.20352033409214051,-0.2537369996538564,-0.004458066006499814,-0.0249196571192329,-0.054942843978050215,-0.026341330682033256,0.08340875372420038,-0.08646742604355755,0.04575378519122627,0.014366963094398564]
1469	[-0.2009660556023592,-0.2470399182216972,-0.0358361573027658,-0.02914872161573945,-0.15940665323661454,0.04670642351067175,0.09501858164235764,-0.047780286356433346,-0.07468165330937485,0.002729219066227411]
147	[-0.13899425095756102,0.19365952887620555,-0.0075919073509800785,-0.022206307025437768,-0.02434427057160429,-0.09759448812308401,-0.008386196347829703,0.018954283788504608,-0.03571336982965259,0.006983017680575492]
1470	[-0.20927152313873265,-0.26642413918006697,-0.028701263064381345,-0.006521445268823682,-0.059682775686312285,-0.0403079435833713,0.0864771140197755,-0.08942389932534249,0.03950036871324624,0.01777736610474777]
1471	[-0.206038420096145,-0.2423636410133959,-0.03839652112640408,-0.06032391847427132,-0.24388430362164554,0.13698799206304807,-0.042152829023819914,0.05374546841384714,-0.02908114821946324,-0.04050573759347727]
1472	[-0.21702714192185157,-0.2686478498652181,-0.051452373687239955,-0.00825257900342607,-0.08549505603538289,-0.006585090095177206,0.10065239418354051,-0.07979380055071122,-0.025562919349798957,0.01813638251768414]
1473	[-0.21191165145919713,-0.2666792714439197,-0.032624926142860035,-0.023375677639583488,-0.08474656430149718,-0.005742739981592672,0.096589597299703,-0.07737761527377528,-0.014582871717426485,0.017571620835274172]
1474	[-0.21414047244089252,-0.27359324268887714,-0.045216000709978436,-0.015722710720058028,-0.08592067729509181,-0.024609742102557657,0.08928310170952494,-0.08512564967496428,0.0027204721727241503,0.028108175987841044]
1475	[-0.20702959210255403,-0.25377237626498256,-0.02286166133901864,-0.05121921649557958,-0.19090146414650627,0.09395411128836512,-0.041190951582600444,0.03845670474845787,0.01715605555322202,-0.021803412613601823]
1476	[-0.2152657212672155,-0.27896358526907067,-0.056065031686084815,-0.016131456398372993,-0.09230679087452213,0.0037487882520291617,0.09855205588788575,-0.07659746029901023,-0.02307891798209889,0.021475150811240865]
1477	[-0.2159916941186537,-0.25696491883365175,-0.08999652569177313,-0.06350878144844994,-0.3167298851516245,0.2185871924408205,-0.04103534779479477,0.07531637181652004,-0.04931628120176369,-0.06662027663055702]
1478	[-0.21351024014264336,-0.2778483130654257,-0.0418564192048917,-0.01427957273156016,-0.07234690185366525,-0.021222939771160746,0.08157677177419848,-0.07392636870258722,-0.00689005849259259,0.017144594144275657]
1479	[-0.2204856645103689,-0.3048009673133528,-0.10204287715594727,0.0042414251811394126,-0.06556102513631955,0.012757744693031753,0.08768237599669837,-0.04560411657976703,-0.05983500248241849,0.017807949442456564]
148	[-0.13550600948188338,0.2024721800222525,-0.00952383249489985,-0.017940730114051662,-0.023061621769724455,-0.09782463138075081,-0.016630171753479858,0.02186256128476345,-0.03237519133391003,0.011488675673005492]
1480	[-0.2260662447943507,-0.3113468371858393,-0.10316969660692132,-0.009138728228530475,-0.0851277168782198,0.01165745119149618,0.09402224715371543,-0.05292066497923652,-0.048492541264507895,0.016931631281760104]
1481	[-0.22281367313026906,-0.2926052848892431,-0.0913521022026919,0.0048192085249169556,-0.05122281301003777,0.011728449228388924,0.06815784898921858,-0.04771668220324526,-0.022936041239248528,0.017841438812813]
1482	[-0.20469103337712546,-0.23994483401801428,-0.0010410479369647658,-0.0593889664387898,-0.1985520339849775,0.08471257938869892,-0.03511880705904138,0.016649692319789283,0.0384425253267789,-0.02332257258241345]
1483	[-0.22212663132606325,-0.29101426443093487,-0.06524913686741289,-0.011672327114256123,-0.06586723708434186,-0.01920667599063334,0.10684846740183875,-0.10134793966819357,0.010933610392817124,0.028678161639028987]
1484	[-0.22050531429058046,-0.2834887142341075,-0.07749645910554225,-0.01349994547916695,-0.06570681350161632,-0.01811368761209939,0.10543645161816184,-0.09370727567772659,0.012944309585938665,0.025440020890281124]
1485	[-0.22647943401736803,-0.2931448102565206,-0.0853648363519226,-0.00783707682860123,-0.14168588409603833,0.039245658268330666,0.10949290871684617,-0.04950313796994666,-0.09931584050841445,-2.957948145862942E-4]
1486	[-0.1689543953017956,-0.19320100713481092,0.17009030011446954,-0.05424940827233223,-0.08010741729208543,-0.07480023607397919,-0.0016823717562717366,0.015849581576760967,-0.013655817423462715,-0.01872945418061805]
1487	[-0.20764506713329878,-0.25055604489359384,-0.03275637061403548,-0.02638505122005724,-0.1559689733927582,0.04425834396876658,0.08469607940187113,-0.0388640056063065,-0.06879787361194317,0.0043762963977670806]
1488	[-0.19526286340925095,-0.23765000761980337,0.0330162404075588,-0.02575571101924042,-0.05037114597878137,-0.06373992796494159,0.05453569598991213,-0.0736174095825309,0.049949630138498576,0.007718141605020687]
1489	[-0.20825432019336637,-0.25689677939714023,-0.0122285545435745,-0.01999762917079443,-0.08057413487609849,-0.03662344972979094,0.08724519093451746,-0.08750677178620243,0.03978874192186601,0.019121421777256696]
149	[-0.13696310612581428,0.19108465428591676,-0.006803302148385202,-0.020789621096998955,-0.026401188280515145,-0.09844430810510887,-0.005494681882671959,0.02336539018745227,-0.03805875988862033,0.013302382363926845]
1490	[-0.19866472413645758,-0.2489404517016637,-0.0029105716832305505,-0.02300985964202545,-0.07636674219412251,-0.03865571982708635,0.08120397838390501,-0.08493317525436996,0.04328542697708145,0.014961158577078163]
1491	[-0.2038036921742827,-0.2597745921503464,-0.012058257492824884,-0.025496994049863147,-0.05051853363859479,-0.014553810528049294,0.06638124235261736,-0.05706493351182416,-5.002029144082959E-4,0.012324605008206221]
1492	[-0.2140568315005915,-0.2755052251579362,-0.0360863450558467,-0.013420673748911309,-0.03839916736128409,-0.022610257820769628,0.06794597077774896,-0.05310607901529243,-0.006379757730129331,0.003273722999916585]
1493	[-0.23516368367811302,-0.32282745235582594,-0.1153426182325423,0.012242008259419937,-0.07309329059842164,0.021853945119354207,0.08320952352696698,-0.030545293566335504,-0.08066615056534744,0.01684601907300056]
1494	[-0.22008275971788602,-0.29765349235843114,-0.09903200145275201,0.003988802344771123,-0.07433787486942288,0.017781899410087718,0.08017717155511637,-0.040037010647104083,-0.04844199546524093,0.018139381792576487]
1495	[-0.21604263872821264,-0.29816712934849926,-0.035018777967220485,-0.007386904155452047,-0.03811716192974244,-0.04245583995701655,0.053952802080966526,-0.04850631344489658,-2.158585211661501E-4,0.008005381505846619]
1496	[-0.22804017556648393,-0.2901985453220361,-0.09979444875156543,0.002198677962776544,-0.06257130696281457,0.00935616900618038,0.08196770389578648,-0.05000865465771472,-0.04952763021412842,0.01048516459145486]
1497	[-0.21089677073348434,-0.26315238849976513,-0.02921276153869009,-0.010429207605154454,-0.04973273072740072,-0.025598773453091767,0.05917708008960621,-0.048594249526356104,-0.0056701686934097885,0.012617442152928853]
1498	[-0.20464892465867493,-0.2577583188582047,-0.03138775537770591,-0.016381519998900876,-0.04474976960376523,-0.020834060190557724,0.07653877435704705,-0.05118167703112891,-0.008743992248735377,0.009295130350638408]
1499	[-0.21097603078368565,-0.2694960002345019,-0.024551404940358658,-0.021341177267883486,-0.04465040303302467,-0.026373135878611394,0.061015968065124854,-0.047960631758933475,-0.009134394301483646,0.013562529102108735]
15	[-0.13546062736001876,0.218746534062716,-0.030273727607898794,-0.023813538617321994,-0.01636675028581087,-0.10083023505109982,-0.012508250676053198,0.022339419436983827,0.0030131581086048904,-0.019630075803227356]
150	[-0.18456662684771036,0.09099553217753419,-0.21691339521210593,0.00978061513703673,-0.07960445359021391,-0.008969632775753345,0.11668817156875645,-0.10629922703234432,-0.05851898556493995,0.02981472812318916]
1500	[-0.16937501661770216,-0.1880543762736543,0.17064687242889073,-0.05611917400525854,-0.07888236036775693,-0.07923579056834651,-0.015322212324672835,0.015024344552934485,-0.006817174474587506,-0.0019709612633969005]
1501	[-0.22427789455948607,-0.25679424652144184,-0.0946984161765022,-0.051504136507986284,-0.2887464479749576,0.2147706995115662,-0.041663136168566976,0.06736928401891981,-0.024585379361691608,-0.07024989312340447]
1502	[-0.1691447822963326,-0.19916009984516125,0.17773195086145724,-0.052416582716201796,-0.08803518121213448,-0.07874489971377452,-0.01565740559087832,0.028912759170689802,-0.019324555034053177,0.014791650234314096]
1503	[-0.16432868325493924,-0.17920738570279596,0.1681186435908694,-0.05979859518793353,-0.09210579690014588,-0.08508703232918258,-0.009227911224659636,0.022649558879977827,-0.01890380648881708,0.006471015890327957]
1504	[-0.22870467383457826,-0.29811086377595925,-0.1210931001868969,0.001236649702169786,-0.07636231945214741,0.03471650637648992,0.08092738601860706,-0.04615482410156087,-0.050391568037889974,0.004839023721307828]
1505	[-0.20533606364779777,-0.2546802217260769,-0.017256961716416636,-0.012680402547521823,-0.07866290151929244,-0.01879187163977285,0.08925431310111018,-0.09003672761535127,0.021114708876097923,0.02515991067619374]
1506	[-0.2030088973821995,-0.24875292218943648,0.009297350448740764,-0.016503417702396987,-0.06088633760612498,-0.03677583618439442,0.07010577948994132,-0.07445448146258384,0.034924515372922106,0.009789973348378191]
1507	[-0.22502608018528528,-0.2989044458545624,-0.11665644045611129,0.009753956842575935,-0.05971792347528666,0.019838405360911648,0.06690495487257966,-0.026146060925717942,-0.05442170895715364,0.0062813725363750055]
1508	[-0.16570304635383448,-0.17365568185893715,0.16900094504321672,-0.05869621566624336,-0.08863124507447417,-0.07615980886325517,-0.008563080646956477,0.02677929416343742,-0.02204988078408439,0.01297209879795106]
1509	[-0.1673347571064844,-0.17025627731972492,0.16590084328611734,-0.058789352914837265,-0.08189971870410222,-0.07536584613295896,0.0015302846608874702,0.01531510009528392,-0.017357617267178688,0.004194473065675241]
151	[-0.13321932295552338,0.20608967097288935,-0.013655578927458558,-0.018431806706361385,-0.023465916621879742,-0.10032080754125502,-0.008449851630555557,0.020661747963482732,-0.03422637224299447,0.006021909791252183]
1510	[-0.16828215543937258,-0.18794485569700686,0.17251136018261606,-0.05504378240113374,-0.07547930898259628,-0.07458842599013228,-0.014472470327130716,0.022039327982282572,-0.02241752010188867,0.0020922379428888025]
1511	[-0.17051567937285045,-0.19022430509289115,0.1679238589180507,-0.04045437316708255,-0.08528303110954207,-0.09559209759804893,-0.025440688040560856,0.039996117575299826,-0.02195651562573698,0.008213909070849923]
1512	[-0.16979053485822035,-0.17887984848613367,0.16686573150441,-0.05176799947168064,-0.07025554277376764,-0.07136334452999901,0.0037019862623896855,0.021075298146161655,-0.013248569137044426,-0.014526418978894003]
1513	[-0.164277182886018,-0.17928070452145142,0.16277222575075218,-0.05165830449492276,-0.07194066831907113,-0.07652640387441917,-0.024366736221370425,0.025866767201810945,-0.015339844834677038,0.003089851235922984]
1514	[-0.22123469100523863,-0.2577491669786814,-0.07656649114885185,-0.06307626467036295,-0.2784023760732848,0.19780544330327376,-0.045724525262630586,0.06685034920557584,-0.01776061118700704,-0.06241614039474492]
1515	[-0.22376670745486282,-0.298963762814626,-0.09434265888532054,-6.203142855210501E-4,-0.0698602399834145,0.0010616862980597902,0.06679622695157247,-0.033569926928231096,-0.04327928001761483,0.003883655699546529]
1516	[-0.22182875363724525,-0.2954543608920409,-0.07513073919565219,-0.012268492341610551,-0.06609212325775442,0.006382011353313131,0.0782178353864732,-0.04799223688714364,-0.04405346975624686,0.01324869857190268]
1517	[-0.22393622544751962,-0.26974950403932807,-0.09686938235326181,-0.05360282177151558,-0.2920082381003326,0.2010135691906073,-0.054776115628520645,0.06980427081803826,-0.018739886394811972,-0.060947568814549324]
1518	[-0.22188988843297347,-0.2872366534389378,-0.08227141395584242,-0.01457052062234732,-0.06155228058907433,-0.007171372521767352,0.0937942165586875,-0.05871188996695123,-0.04515112943520288,0.02420469019452356]
1519	[-0.21941095684913736,-0.2858149568171012,-0.07113941148468605,-0.0066109138750018144,-0.10012406631343788,-0.009604046878079104,0.10278374996357674,-0.07286807228933039,-0.03134978741152329,0.020808855518464103]
152	[-0.13049207908450688,0.19078460597156682,-0.009438233232962709,-0.02573572219098564,-0.023207999890981653,-0.09984013806931669,-0.010824456658967382,0.02496811094370315,-0.03363575165364901,0.014223707258292927]
1520	[-0.16169718094480667,-0.18575024496835937,0.1731458111211365,-0.04790245485751938,-0.0878098248623511,-0.08680504161095785,-0.011115643943320009,0.032931383221777785,-0.020290243808483592,0.00774269779392525]
1521	[-0.1709933742345624,-0.1756204622731785,0.17183538618557762,-0.0631778568478236,-0.07892145261716696,-0.06700415292126798,-0.00445423952408019,0.015172728993791984,-0.016077581074269837,0.0052920898246263635]
1522	[-0.1682988646355469,-0.1827501901182547,0.16849750146569958,-0.060202954923259555,-0.08960310409297936,-0.08432054400097692,-0.015064506522055408,0.025647110342309563,-0.023057898316813742,0.005477755340117562]
1523	[-0.16351537002806904,-0.1628416585355296,0.16427289593163008,-0.06405505483823219,-0.0761796328027509,-0.0714916911238687,-0.005699559593712338,0.018092230465415075,-0.019790045595051358,0.013988748586376588]
1524	[-0.17243238612523631,-0.19341932978301968,0.17277410411077612,-0.07330986438621766,-0.08736748300670741,-0.08177426231058459,-0.00492168950859912,0.018041825767034322,-0.022678772155503655,-0.002540062340180953]
1525	[-0.16989034255712215,-0.18480898641123275,0.16821858898241546,-0.05394139873041831,-0.08059151044467201,-0.07355793892709704,-3.934193190665291E-4,0.01763363165656591,-0.011660423535518187,-0.0116763813000642]
1526	[-0.16943854921518142,-0.18170372911690502,0.16470139563958025,-0.06376609812755259,-0.07920488419492634,-0.07776946330385669,-0.01600186682422052,0.025576232059780924,-0.02013753557378017,0.011802562890241742]
1527	[-0.16717081720803065,-0.1716395650713824,0.17067832311227518,-0.05321541993096555,-0.07725356437921858,-0.06806343128834276,0.007355552264175005,0.01251780352958433,-0.01571584786362578,-0.01928554627263679]
1528	[-0.16634444686801886,-0.1692146266151255,0.1662136333054218,-0.059206739724171856,-0.07943679376186806,-0.0738171792119843,0.003716024660027017,0.013622743937733163,-0.015807168551238083,-0.003751556724764487]
1529	[-0.16923700133877473,-0.16973723960991774,0.16772307122394162,-0.05488252058148959,-0.07382652898470377,-0.07134737083617554,0.00801059702856692,0.013941024413595923,-0.01759688798456906,-0.01062623946073353]
153	[-0.14495887345858427,0.19046104876748085,-0.007915733193065246,-0.040314000285154084,-0.025424468088939292,-0.09526427733853328,-0.001954313918067602,0.010196038270301602,-0.0423686342753633,0.009112987051248665]
1530	[-0.1650106323992635,-0.18934050501999128,0.17041920143949285,-0.05448590681760309,-0.07525184508614652,-0.07596674316032778,-0.008061448727038772,0.027605925409920067,-0.01693130785394555,0.0016164129555781637]
1531	[-0.16570367458758542,-0.18324678269929126,0.17309673359844283,-0.061647664713747934,-0.08730784152996612,-0.0770426733267119,-0.008564175350219581,0.022484566999450402,-0.018753538316830368,0.01198656817052825]
1532	[-0.16551268307668898,-0.17328913506986265,0.16527533694442903,-0.06539933736889607,-0.07795719214409225,-0.08020293730528881,-0.009267684841973173,0.025567351200327736,-0.01764745281152624,0.006046088090404706]
1533	[-0.1641250081769449,-0.1751426034951347,0.16525384836017631,-0.050688224673891086,-0.08181825962227501,-0.07445715515801762,-0.006484433390204957,0.02306250348379922,-0.011094205155128156,-3.0077992926728583E-4]
1534	[-0.16955450313633272,-0.17733621229055388,0.17366756354684504,-0.06458000781040765,-0.07998935516572982,-0.06831799540742271,-0.002681272467340904,0.01883903455075288,-0.01407698959512879,0.00591275802723739]
1535	[-0.16966461184247877,-0.18568431537403843,0.17322415401408944,-0.06482427151310928,-0.09244817100963956,-0.07854336972038835,-0.005784379396700784,0.018375613195257545,-0.01641998083746878,0.0018623843703676408]
1536	[0.38031709951112946,-0.1064980023157242,-0.16093917605142424,0.03655729628976009,0.027733712860837884,0.010410978921832117,0.1423140074945722,-0.0722617141824722,0.10548275263616709,-0.0056400992538939414]
1537	[0.43788107243907864,-0.056263017201456385,-0.025636735495519973,0.01548485135761047,0.05817273571298279,-0.02162887164952806,0.031216476632948725,9.088924190857558E-4,0.08347094430876495,-0.14251359427217467]
1538	[0.3971955407664045,-0.11055911731920112,-0.23334008574623896,0.0061362216855173745,-0.1369397246713464,0.19841153640387055,0.011815429802892623,0.024797813681183542,0.06856806217267732,-0.061589315580687566]
1539	[0.396323129114361,-0.09199930626666862,-0.20848855497373203,0.001048086305353217,-0.14766693613444554,0.20923366398179616,0.0033601482959534318,0.08654618211629794,0.03341009773957604,-0.07126044591182422]
154	[-0.1324974139716262,0.19838502904313923,-0.007026327893051621,-0.023736887443832084,-0.020271669950504972,-0.09258063655766877,-0.0037346881026216424,0.019095274237970014,-0.03362972719982377,0.015012789626368104]
1540	[0.40776756913780726,-0.061346139561898466,-0.10511570040065689,0.0025990826217079863,-0.06718604298003421,0.10043546143014478,-0.02904075321700005,0.026656161304021184,0.0725628620629055,-0.006234384916096035]
1541	[0.4419163943471814,-0.032156472819052435,0.005581365711426455,0.002501246037657179,0.0030615866037572246,-0.02065357675621517,0.05455846478945,0.03505855695626089,0.0117215964801317,-0.06146341792952158]
1542	[0.42594214238073824,-0.029336721930813086,0.007034380073935368,-0.004546346432531898,0.005703830734231563,-0.016805257119994806,0.050558061284983594,0.033834220877812723,0.005369968211836262,-0.06405563046520678]
1543	[0.4401605343946076,-0.026709351108030535,0.0028097798574237285,0.00619602537127914,0.008031780499604537,-0.02512394427093392,0.05929445141330382,0.03275827707875531,0.005960978762193489,-0.08636511226874842]
1544	[0.4337419863401297,-0.03261051095265374,0.01042165935675747,0.011728016852535402,0.015615461534545953,-0.019207946977078484,0.06186176624295096,0.030303405896059434,0.015544404749613168,-0.0821419317375037]
1545	[0.39843357087493714,-0.09007528333093873,-0.12752448202976974,0.027545311233438695,0.029989316131757555,-0.008896819085138686,0.13411400245164606,-0.04920737707900454,0.10362342267599993,-0.024023722504029982]
1546	[0.44080658093751857,-0.03749419247771,0.0028195149122124917,0.0025924389369268723,0.02685524063382378,-0.022779398518893598,0.0521334550816394,0.01501950032446481,0.011351417029117242,-0.11558566952917373]
1547	[0.3800515591338254,-0.09843233231431475,-0.1647814218805547,0.02945934727251169,0.03391366726259231,0.006411090900979331,0.1361067822170853,-0.07215128973259774,0.08880346720190012,0.004248401340979916]
1548	[0.43935834788946987,-0.02671918086487313,-0.002531974888314384,-0.0026625707430756014,7.377129506771549E-4,-0.02335432572541894,0.05421637849597802,0.026132939456797278,0.03553618048335795,-0.06851962723363424]
1549	[0.4310498750825292,-0.04309737261165057,-0.03221526466054627,-0.005681711114465464,-0.0016292155995135383,-0.011029168786398771,0.053307276753322544,0.025790647679130523,0.10523639683180952,-0.08120103621103741]
155	[-0.1727159817652318,0.1305515710503019,-0.15733182301096169,-0.011519813582970372,-0.0786248452132825,0.03340461858498329,-0.03990862451442598,-0.018222594531294253,0.054173299872875225,0.00206735417284021]
1550	[0.4354899671647404,-0.02458635474524746,-0.001261663487869111,-0.010487532641679235,-0.0056510529623921574,-0.018921160128007094,0.048225327765236393,0.0465137679352673,0.022971232621375612,-0.04150339663979737]
1551	[-0.20428014095812244,-0.260126984488528,-0.017254638285642797,-0.01736213004546039,-0.0667331672512321,-0.02993244206835826,0.09339957093422022,-0.09900041176027281,0.044900527003419434,0.016717875817897854]
1552	[-0.20671419745628586,-0.24751685363529505,-0.0020252959107595267,-0.0068855795228895626,-0.0607084517346838,-0.04005706515996135,0.07899990087995015,-0.07495752081015403,0.038089609318625935,0.00855186471532786]
1553	[-0.19779066239989532,-0.24829146675004296,0.007409381805674538,-0.027009333693152473,-0.06502118372016746,-0.03801399629629951,0.07868712725958472,-0.07329379697916365,0.03175164326727496,0.014579578457986379]
1554	[-0.1936116226663635,-0.23613117008667558,-0.01690760909838579,-0.01467741516911653,-0.06908184491521731,-0.02098922057166339,0.09299114875999273,-0.08223677678907403,0.028487434265475915,0.011830975436804054]
1555	[-0.17035922740064527,-0.17356305942539135,0.1742961287185485,-0.06834377566566462,-0.0831457555213012,-0.06955093937726435,0.004370284732447311,0.021428070039879465,-0.020237760631158275,0.0140744671188329]
1556	[-0.19406966449199345,-0.2507508388405192,-0.013842473000821047,-0.020045462296251728,-0.06691132605195634,-0.028713474672185043,0.08331088399560431,-0.08033831642163483,0.027924311079624238,0.017099167069336868]
1557	[-0.18666211049830492,-0.2178247158659427,0.056321222153006466,-0.03666976982323751,-0.05948284351827132,-0.05301504605272344,0.05351947155081138,-0.0647548573460345,0.03926375039568897,0.004715053920743535]
1558	[-0.19660632058127936,-0.2338096406214033,-0.009681716224043822,-0.07430285066559973,-0.1909885190440199,0.10263591461982041,-0.03964090825509136,0.02696123533773407,0.029172752437026658,-0.019962733063687732]
1559	[-0.20943397453928034,-0.2596698828025566,-0.03909598068220434,-0.01805238704324343,-0.05808961536723405,-0.017864135485818073,0.09375694468093909,-0.0871702324600713,0.022439676548712553,0.015437080688358145]
156	[-0.13717546640588024,0.19702592130682786,-0.009850637258079657,-0.022002454622501746,-0.022551886718608333,-0.09744001267348947,2.740944783931177E-5,0.020601635606891627,-0.03471456466699496,0.01293027181187344]
1560	[-0.21279707632218112,-0.2625876744300194,-0.015009385919992254,-0.02580087926212747,-0.051093906693219796,-0.03206427164317993,0.07053238127771233,-0.0661533659673627,0.020876331038810546,0.011716265688815005]
1561	[-0.17276586364227636,-0.1787253757668763,0.17114688938961664,-0.058400744087284885,-0.08951060348243058,-0.07477045499414753,-0.008646554971450535,0.022428989898380353,-0.013803729281048284,0.012805190064420841]
1562	[-0.1636632421184938,-0.1657682610325272,0.17475551327371636,-0.06331113514218804,-0.0837756286338209,-0.06403524931172712,-5.301436949797074E-4,0.016379932013427405,-0.016189988851616842,-0.0014062164131317227]
1563	[-0.1634426733078005,-0.16538185163471242,0.1718112756426806,-0.05604961430012481,-0.087602272736289,-0.06582387340055679,-0.004320666724849685,0.018695869275236764,-0.020402881015049786,0.009206284442869573]
1564	[-0.1653030594319094,-0.17098540070799317,0.17687479899855849,-0.07265354799814211,-0.08291070833279678,-0.06413865546161629,0.003925049790493916,0.014255348728409669,-0.013752126854187365,0.0021524751311330467]
1565	[-0.16708526824212486,-0.16612775367074695,0.17003303513839266,-0.054962207830983455,-0.07891731109485596,-0.0703247884033589,-0.010181486185912553,0.011023591178075467,-0.009062235932363376,-0.0017800311700958927]
1566	[-0.15991885854321564,-0.16485900437152085,0.16691965747316953,-0.06955792276692191,-0.08243437456902772,-0.0663436789418126,-0.001964307792982137,0.01659539533095325,-0.01814783989709322,0.009093929851777986]
1567	[-0.16674592152930418,-0.16831817772448293,0.17075220382369263,-0.0733471000201665,-0.07644746444334001,-0.055470434777541405,0.006958570601009647,0.006652125962398787,0.006905677504325436,-0.022468028286250687]
1568	[-0.17087794134326156,-0.18085399144826256,0.1697879265654314,-0.07613204212086293,-0.0879456056210218,-0.07292394580533239,0.012496902385319112,0.0012416806062772068,-3.160928473772951E-4,-0.021967178493333378]
1569	[-0.1635723083558483,-0.18074308882328602,0.17093096398721405,-0.07032236843475631,-0.07601968064580629,-0.06335621123838685,0.005580504002703643,8.552132772703615E-5,0.005758419751487812,-0.03139689969047772]
157	[-0.13484618075630941,0.19085715570062964,-0.008111490296170157,-0.026712373584204266,-0.027890488525789875,-0.0945476767029405,-0.006545049165413204,0.010171197341351348,-0.03225334127912481,0.01702497468658513]
1570	[-0.1671800233766395,-0.17566284486169434,0.16660766215617184,-0.06977555358776955,-0.06892832982111546,-0.05892906829286895,0.005078027408752509,-0.004470256619144843,0.019264639817290142,-0.033026792410351474]
1571	[-0.17545021903218017,-0.18672488422752015,0.1429541980026117,-0.06358925023865657,-0.07114989393860353,-0.060978662830164634,-0.006352575526356632,-0.0037886342373773573,0.036268407830531646,-0.027075788345611543]
1572	[-0.16567629561693406,-0.1720722896636378,0.1622263202859783,-0.07370053997495725,-0.08326780499170912,-0.06676277552826897,0.005544001884547994,0.004718218342165825,0.002006647858038715,-0.015264746168196081]
1573	[-0.17117684236648595,-0.1765651011570531,0.16652439326320204,-0.07740576889182127,-0.07107916796044458,-0.06586646158275848,0.008429272601640347,-0.00217176990841235,0.01457597656409715,-0.032109703674291924]
1574	[-0.16860548947431508,-0.1869004912211156,0.14415653495256275,-0.06832037148514222,-0.06951989042589864,-0.052072722963265344,-0.00963128561814604,-0.012176576255989094,0.040959403712184796,-0.024551270748956577]
1575	[-0.1738599753372089,-0.18667054437455738,0.16580869448190738,-0.060945766099426264,-0.07636480932936487,-0.07507554708295242,0.00633907691129146,-0.0017010436742185475,0.018576303993734264,-0.032292907061997125]
1576	[-0.16686138764022806,-0.18626735787733587,0.16797026946963378,-0.06663056629114802,-0.08069219287883046,-0.0686394232413484,0.0029927302608463062,8.853694342723162E-4,0.010543045601450588,-0.02764236671334366]
1577	[-0.1598823213379372,-0.16825029039764358,0.1697434492680015,-0.062162227302670445,-0.08239826718822715,-0.06767776542436434,0.0034829564263486185,0.011551377131157052,-0.015455430684567359,0.003607323846602613]
1578	[-0.1603231681407472,-0.16750511616972172,0.17086813311224328,-0.05798602868807419,-0.08699111413628056,-0.07000648323277187,-0.0026670403494761232,0.02555784102278157,-0.01728267247240493,0.008012688802912364]
1579	[-0.16661449230385703,-0.17202743201032064,0.1703489957585286,-0.06202893421081043,-0.08358302124435235,-0.07468145783018068,-0.006705674818253482,0.01940472977681217,-0.01744156121683812,0.0026473722895177182]
158	[-0.13430131007991028,0.1927896812108974,-0.008910556249132598,-0.022024661434162828,-0.02497976482646811,-0.09579363189006582,-0.007573419718950036,0.014894595950738828,-0.038356790080369,0.016003718297255165]
1580	[-0.16871132875185435,-0.17213308023406737,0.17406915677263052,-0.06073429459489413,-0.0860927489469961,-0.07311133481428853,-0.006620778559391859,0.017171666119172344,-0.01575610562569316,0.010432439538782184]
1581	[-0.1984346401796894,-0.2284295471510345,-0.012404548165926635,-0.06172767239578736,-0.21371854800216522,0.12807272198062694,-0.060636222304103204,0.0325435249482018,0.022537101357318352,-0.026146203644235057]
