,sample_id,ancestry,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,predicted
491,492,nfe,-0.12339238781964042,0.2233524287531802,0.019853613522570934,0.014357617436285042,0.01846980222164007,0.10787527669381107,-0.027946834167385505,0.04173875273179649,-0.02210025427466103,0.005847521782911962,False
492,493,nfe,-0.11952796511611687,0.20658286089722044,0.015451459261881148,0.01286968120094556,0.017923217842282704,0.09667078911084426,-0.032121340518698534,0.031077727432377675,-0.021635539712567053,0.003967393677798857,True
493,494,nfe,-0.12410094444619617,0.20668909532477733,0.015405624233027628,0.008806856490498899,0.019276544450701105,0.10696712119712015,-0.027632928763508095,0.02823849065450894,-0.024752525055968203,0.013143408826760813,True
494,495,nfe,-0.12501161124163837,0.2158101946483999,0.018915443643296587,0.01565490580003556,0.01626946946720446,0.10134818698669923,-0.030021626012295678,0.035053393165972405,-0.020716191512018586,0.007542387126325082,False
495,496,nfe,-0.11988533903233528,0.21677528859130188,0.020706292854373563,0.011054319826925974,0.019078485505136623,0.11426138533620081,-0.0381148756964638,0.043299461682236653,-0.026335390965175596,0.002649227895717019,True
496,497,nfe,-0.119283487620485,0.20823466605586513,0.011994290048880028,0.013064624523520734,0.015149346482688703,0.10139296019104693,-0.02596421652146855,0.03587198464408967,-0.027909633346012788,-0.005106542855285819,False
497,498,nfe,-0.12179281909119093,0.21043739680444812,0.017656257965295748,0.016253775352903437,0.01735916712163604,0.1072138415389128,-0.0295739280571412,0.037775099047264775,-0.02381169195962301,0.011164958376380553,False
498,499,nfe,-0.12014401404751435,0.2131868441237977,0.019387896176238262,0.005276803529018154,0.020975839776429236,0.10092063097133995,-0.02146618199979614,0.033258775491960525,-0.016786552432466746,-0.010947101464488532,False
499,500,nfe,-0.13708758315366812,0.22302123334652002,0.024482659089844948,0.016020270712885025,0.019858074305313986,0.11085009034275992,-0.020994181077664226,0.035959180523536236,-0.02197955817335978,-0.0016576675645130913,False
500,501,nfe,-0.12873536213101455,0.2096168724402514,0.014252109415743421,0.013187462839989278,0.01777305273335255,0.09338183019470121,-0.01653437015229918,0.025766253646078773,-0.02371995721128468,0.006519440738677402,False
501,502,eas,-0.2468189052242106,-0.4064164497433442,0.19942470332532006,-0.11141357101183498,-0.15914661021279505,0.03226186656219343,-0.07012944356806851,0.10450661788846986,-0.04530872977932087,-0.011084723358279674,False
502,503,eas,-0.2488910950094294,-0.39586321837075666,0.19591399679391086,-0.11284943417813985,-0.17046760714541562,0.03213562806558485,-0.06768017001301001,0.09806137450358893,-0.03247295250761036,-0.017809098657954558,False
503,504,eas,-0.24523307349394033,-0.386294504113876,0.18270667897329193,-0.10254462945426053,-0.18507163378290353,0.04011036170973124,-0.06532520664085964,0.08031467337791424,-0.0063222445204538106,-0.011608586412246222,False
504,505,eas,-0.24747542061533703,-0.3952634601357094,0.17485698954026746,-0.11132074453586538,-0.18414497591132253,0.0383342004292796,-0.07513859001945013,0.0862164151923303,-0.002060178605446269,-0.010135534212332268,False
505,506,eas,-0.2446523109190712,-0.38417999657809504,0.1802815494310618,-0.09740497198039773,-0.18092496622260043,0.037144885684457264,-0.05834809261146886,0.07728952496396786,-0.013523111127875645,-0.007868990690112636,True
506,507,eas,-0.24662052210496802,-0.3992389992676407,0.1933801616528183,-0.10238778437952605,-0.19614610878891545,0.03616600357810664,-0.06023462438747793,0.08384583355848495,-0.02039089096387766,-0.008417430837119606,False
507,508,eas,-0.24583756164735304,-0.4004513269836017,0.1982447870673618,-0.10435071866745825,-0.1832841073953469,0.02496009024424126,-0.05870476832096696,0.09655776538115579,-0.04074549898785828,-0.004859647336153331,False
508,509,eas,-0.24489112490274795,-0.3968981281174586,0.2114158985047116,-0.11260027865991962,-0.1890338371166545,0.026446098100828916,-0.06190211495286904,0.1086998744654986,-0.04343238541640869,-0.009499136604096816,False
509,510,eas,-0.256206572436536,-0.4138517495739114,0.24816614209083465,-0.11590283479197719,-0.18130370181690886,-0.0055546746318122,-0.09116268744394726,0.15466946351276728,-0.09270859054081121,-0.02503418814949959,False
